METADATA:
Experiment Seed,Number of Games,Subject
3112598,6,017
Time after setup,1202.8989211000735
Timepoint,Time,Is_correct,Experience Sampling Question,Experience Sampling Response,Task,Task Iteration,Participant ID,Response_Key,Auxillary Data,Assoc Task
EXPERIMENT DATA:,Game Task
Start Time,1271.423963200068
Game Task Start,1271.6682263000403,,,,Game Task,1,6,,,
Game Init,1350.0922480000881,,,,Game Task,1,6,,,
Game Start,1350.0922914000694,,,,Game Task,1,6,,Wordle,
ESQ 1,1654.0672865000088,,,,Game Task,1,6,,289.61021546673334,
ESQ,1664.8449703999795,,Focus_start,,Game Task,1,6,,,Wordle
ESQ,1674.6859360000817,,Focus_response,8.799999999999997,Game Task,1,6,,Marker Started at 8,Wordle
ESQ,1674.688698700047,,Images_start,,Game Task,1,6,,,Wordle
ESQ,1681.8591381000588,,Images_response,3.3999999999999986,Game Task,1,6,,Marker Started at 5,Wordle
ESQ,1681.861887200037,,Other_start,,Game Task,1,6,,,Wordle
ESQ,1687.3776620000135,,Other_response,2.6000000000000005,Game Task,1,6,,Marker Started at 2,Wordle
ESQ,1687.3807839000365,,Intrusive_start,,Game Task,1,6,,,Wordle
ESQ,1694.5598931000568,,Intrusive_response,5.700000000000008,Game Task,1,6,,Marker Started at 8,Wordle
ESQ,1694.563071200042,,Distracting_start,,Game Task,1,6,,,Wordle
ESQ,1702.3620362000074,,Distracting_response,1.0,Game Task,1,6,,Marker Started at 4,Wordle
ESQ,1702.365171500016,,Knowledge_start,,Game Task,1,6,,,Wordle
ESQ,1710.0060868000146,,Knowledge_response,5.699999999999999,Game Task,1,6,,Marker Started at 3,Wordle
ESQ,1710.0090853000293,,Future_start,,Game Task,1,6,,,Wordle
ESQ,1718.6679061000468,,Future_response,5.799999999999999,Game Task,1,6,,Marker Started at 3,Wordle
ESQ,1718.6705651000375,,Self_start,,Game Task,1,6,,,Wordle
ESQ,1725.2339940000093,,Self_response,7.299999999999994,Game Task,1,6,,Marker Started at 3,Wordle
ESQ,1725.2381163000828,,Absorption_start,,Game Task,1,6,,,Wordle
ESQ,1732.5299019999802,,Absorption_response,6.100000000000014,Game Task,1,6,,Marker Started at 10,Wordle
ESQ,1732.5337174000451,,Emotion_start,,Game Task,1,6,,,Wordle
ESQ,1739.668053500005,,Emotion_response,1.0,Game Task,1,6,,Marker Started at 6,Wordle
ESQ,1739.6717421000358,,Words_start,,Game Task,1,6,,,Wordle
ESQ,1744.6857442000182,,Words_response,8.400000000000006,Game Task,1,6,,Marker Started at 10,Wordle
ESQ,1744.689033200033,,Detailed_start,,Game Task,1,6,,,Wordle
ESQ,1751.1939157000743,,Detailed_response,5.600000000000012,Game Task,1,6,,Marker Started at 9,Wordle
ESQ,1751.197767600068,,Past_start,,Game Task,1,6,,,Wordle
ESQ,1761.2460906000342,,Past_response,6.0,Game Task,1,6,,Marker Started at 6,Wordle
ESQ,1761.2487144999905,,Deliberate_start,,Game Task,1,6,,,Wordle
ESQ,1766.6203344999813,,Deliberate_response,5.500000000000012,Game Task,1,6,,Marker Started at 9,Wordle
ESQ,1766.6237289999845,,Problem_start,,Game Task,1,6,,,Wordle
ESQ,1772.5163566999836,,Problem_response,10.0,Game Task,1,6,,Marker Started at 5,Wordle
ESQ,1772.5193623000523,,Sounds_start,,Game Task,1,6,,,Wordle
ESQ,1776.60589970008,,Sounds_response,1.0,Game Task,1,6,,Marker Started at 2,Wordle
ESQ 2,1961.0400328000542,,,,Game Task,1,6,,465.9869185783858,
ESQ,1967.4814201000845,,Intrusive_start,,Game Task,1,6,,,Wordle
ESQ,1973.656169300084,,Intrusive_response,3.899999999999999,Game Task,1,6,,Marker Started at 5,Wordle
ESQ,1973.6595155000687,,Distracting_start,,Game Task,1,6,,,Wordle
ESQ,1977.0577392000705,,Distracting_response,9.0,Game Task,1,6,,Marker Started at 9,Wordle
ESQ,1977.061076699989,,Deliberate_start,,Game Task,1,6,,,Wordle
ESQ,1980.887673899997,,Deliberate_response,5.0,Game Task,1,6,,Marker Started at 5,Wordle
ESQ,1980.890195999993,,Sounds_start,,Game Task,1,6,,,Wordle
ESQ,1983.9616204000777,,Sounds_response,2.0,Game Task,1,6,,Marker Started at 2,Wordle
ESQ,1983.9645628000144,,Absorption_start,,Game Task,1,6,,,Wordle
ESQ,1989.9822769000893,,Absorption_response,9.299999999999992,Game Task,1,6,,Marker Started at 7,Wordle
ESQ,1989.983578399988,,Focus_start,,Game Task,1,6,,,Wordle
ESQ,1996.0497797999997,,Focus_response,1.0,Game Task,1,6,,Marker Started at 3,Wordle
ESQ,1996.053407600033,,Emotion_start,,Game Task,1,6,,,Wordle
ESQ,2003.624281299999,,Emotion_response,5.400000000000006,Game Task,1,6,,Marker Started at 7,Wordle
ESQ,2003.6288880000357,,Knowledge_start,,Game Task,1,6,,,Wordle
ESQ,2007.307690500049,,Knowledge_response,4.0,Game Task,1,6,,Marker Started at 4,Wordle
ESQ,2007.3110401000595,,Self_start,,Game Task,1,6,,,Wordle
ESQ,2028.4735084000276,,Self_response,6.0,Game Task,1,6,,Marker Started at 6,Wordle
ESQ,2028.4748453000793,,Detailed_start,,Game Task,1,6,,,Wordle
ESQ,2031.646056800033,,Detailed_response,2.0,Game Task,1,6,,Marker Started at 2,Wordle
ESQ,2031.6499744000612,,Other_start,,Game Task,1,6,,,Wordle
ESQ,2034.4162945999997,,Other_response,3.0,Game Task,1,6,,Marker Started at 3,Wordle
ESQ,2034.4203028000193,,Problem_start,,Game Task,1,6,,,Wordle
ESQ,2039.006402600091,,Problem_response,7.399999999999992,Game Task,1,6,,Marker Started at 4,Wordle
ESQ,2039.009308299981,,Past_start,,Game Task,1,6,,,Wordle
ESQ,2042.0023376999889,,Past_response,2.0,Game Task,1,6,,Marker Started at 2,Wordle
ESQ,2042.0057420000667,,Images_start,,Game Task,1,6,,,Wordle
ESQ,2046.5133659000276,,Images_response,5.300000000000017,Game Task,1,6,,Marker Started at 10,Wordle
ESQ,2046.516526499996,,Words_start,,Game Task,1,6,,,Wordle
ESQ,2049.039113500039,,Words_response,2.0,Game Task,1,6,,Marker Started at 2,Wordle
ESQ,2049.042436400079,,Future_start,,Game Task,1,6,,,Wordle
ESQ,2051.9876116000814,,Future_response,7.0,Game Task,1,6,,Marker Started at 7,Wordle
ESQ 3,2200.1757585000014,,,,Game Task,1,6,,850.0832045000279,
ESQ,2203.798980200081,,Intrusive_start,,Game Task,1,6,,,Wordle
