METADATA:
Experiment Seed,Number of Games,Subject
9544713,6,021
Time after setup,9.157218299806118
Timepoint,Time,Is_correct,Experience Sampling Question,Experience Sampling Response,Task,Task Iteration,Participant ID,Response_Key,Auxillary Data,Assoc Task
 
Runtime Mod,-14
EXPERIMENT DATA:,Game Task
Start Time,13.425270101055503
EXPERIMENT DATA:,Experience Sampling Questions,,,,,,,,,
Start Time,297.1654046997428,,,,,,,,,
ESQ,311.46689560078084,,Deliberate_response,8.399999999999988,Game Task,1,6,,Marker Started at 5,The Long Dark
ESQ,316.1296605002135,,Past_response,3.0999999999999983,Game Task,1,6,,Marker Started at 5,The Long Dark
ESQ,322.8782125003636,,Other_response,4.400000000000001,Game Task,1,6,,Marker Started at 3,The Long Dark
ESQ,326.579757200554,,Sounds_response,8.0,Game Task,1,6,,Marker Started at 8,The Long Dark
ESQ,330.2790435999632,,Images_response,9.499999999999995,Game Task,1,6,,Marker Started at 8,The Long Dark
ESQ,334.3970573004335,,Absorption_response,5.699999999999998,Game Task,1,6,,Marker Started at 4,The Long Dark
ESQ,339.0767164006829,,Focus_response,10.0,Game Task,1,6,,Marker Started at 4,The Long Dark
ESQ,343.7769012004137,,Problem_response,10.0,Game Task,1,6,,Marker Started at 8,The Long Dark
ESQ,348.9765834007412,,Emotion_response,6.499999999999995,Game Task,1,6,,Marker Started at 5,The Long Dark
ESQ,356.4436280000955,,Intrusive_response,3.9999999999999987,Game Task,1,6,,Marker Started at 5,The Long Dark
ESQ,360.2968908008188,,Self_response,4.10000000000001,Game Task,1,6,,Marker Started at 8,The Long Dark
ESQ,365.39811460115016,,Future_response,5.799999999999999,Game Task,1,6,,Marker Started at 3,The Long Dark
ESQ,370.25834090076387,,Distracting_response,5.20000000000001,Game Task,1,6,,Marker Started at 8,The Long Dark
ESQ,376.11284590139985,,Detailed_response,9.300000000000002,Game Task,1,6,,Marker Started at 10,The Long Dark
ESQ,380.2966310996562,,Words_response,1.0,Game Task,1,6,,Marker Started at 7,The Long Dark
ESQ,384.27973259985447,,Knowledge_response,2.0999999999999974,Game Task,1,6,,Marker Started at 5,The Long Dark
EXPERIMENT DATA:,Experience Sampling Questions,,,,,,,,,
Start Time,569.2084833011031,,,,,,,,,
ESQ,581.7368880007416,,Absorption_response,10.0,Game Task,1,6,,Marker Started at 10,The Long Dark
ESQ,586.0668174996972,,Focus_response,10.0,Game Task,1,6,,Marker Started at 6,The Long Dark
ESQ,590.8469118997455,,Sounds_response,8.200000000000006,Game Task,1,6,,Marker Started at 5,The Long Dark
ESQ,595.3597216010094,,Future_response,8.0,Game Task,1,6,,Marker Started at 8,The Long Dark
ESQ,598.6602105014026,,Words_response,1.0,Game Task,1,6,,Marker Started at 3,The Long Dark
ESQ,602.1867035012692,,Detailed_response,7.199999999999992,Game Task,1,6,,Marker Started at 5,The Long Dark
ESQ,606.0366697013378,,Intrusive_response,3.6000000000000094,Game Task,1,6,,Marker Started at 8,The Long Dark
ESQ,609.5367192011327,,Past_response,1.0,Game Task,1,6,,Marker Started at 4,The Long Dark
ESQ,612.7471882011741,,Problem_response,10.0,Game Task,1,6,,Marker Started at 6,The Long Dark
ESQ,618.9884242005646,,Other_response,4.100000000000017,Game Task,1,6,,Marker Started at 10,The Long Dark
ESQ,623.7933104000986,,Knowledge_response,6.799999999999994,Game Task,1,6,,Marker Started at 5,The Long Dark
ESQ,626.1568705011159,,Self_response,2.0,Game Task,1,6,,Marker Started at 2,The Long Dark
ESQ,629.4068158008158,,Deliberate_response,8.799999999999997,Game Task,1,6,,Marker Started at 8,The Long Dark
ESQ,634.7269352003932,,Distracting_response,5.899999999999997,Game Task,1,6,,Marker Started at 5,The Long Dark
ESQ,638.3365724999458,,Images_response,7.799999999999994,Game Task,1,6,,Marker Started at 6,The Long Dark
ESQ,642.9070670008659,,Emotion_response,3.700000000000013,Game Task,1,6,,Marker Started at 9,The Long Dark
EXPERIMENT DATA:,Experience Sampling Questions,,,,,,,,,
Start Time,889.3147321008146,,,,,,,,,
ESQ,896.0770116001368,,Detailed_response,10.0,Game Task,1,6,,Marker Started at 7,The Long Dark
ESQ,901.9368166010827,,Words_response,5.20000000000001,Game Task,1,6,,Marker Started at 8,The Long Dark
ESQ,906.4270430002362,,Problem_response,6.0,Game Task,1,6,,Marker Started at 6,The Long Dark
ESQ,910.8069397006184,,Intrusive_response,1.7999999999999976,Game Task,1,6,,Marker Started at 5,The Long Dark
