METADATA:
Experiment Seed,Number of Games,Subject
9544713,6,021
Time after setup,9.157176401466131
Timepoint,Time,Is_correct,Experience Sampling Question,Experience Sampling Response,Task,Task Iteration,Participant ID,Response_Key,Auxillary Data,Assoc Task
EXPERIMENT DATA:,Game Task
Start Time,13.425253599882126
Game Task Start,13.750427501276135,,,,Game Task,1,6,,,
Game Init,82.29679219983518,,,,Game Task,1,6,,,
Game Start,82.29682910069823,,,,Game Task,1,6,,The Long Dark,
ESQ 1,297.1652897000313,,,,Game Task,1,6,,194.46083111842847,
ESQ,303.913054600358,,Deliberate_start,,Game Task,1,6,,,The Long Dark
ESQ,311.46689560078084,,Deliberate_response,8.399999999999988,Game Task,1,6,,Marker Started at 5,The Long Dark
ESQ,311.47018690034747,,Past_start,,Game Task,1,6,,,The Long Dark
ESQ,316.1296605002135,,Past_response,3.0999999999999983,Game Task,1,6,,Marker Started at 5,The Long Dark
ESQ,316.13217830099165,,Other_start,,Game Task,1,6,,,The Long Dark
ESQ,322.8782125003636,,Other_response,4.400000000000001,Game Task,1,6,,Marker Started at 3,The Long Dark
ESQ,322.8816068004817,,Sounds_start,,Game Task,1,6,,,The Long Dark
ESQ,326.579757200554,,Sounds_response,8.0,Game Task,1,6,,Marker Started at 8,The Long Dark
ESQ,326.5826166011393,,Images_start,,Game Task,1,6,,,The Long Dark
ESQ,330.2790435999632,,Images_response,9.499999999999995,Game Task,1,6,,Marker Started at 8,The Long Dark
ESQ,330.2821308001876,,Absorption_start,,Game Task,1,6,,,The Long Dark
ESQ,334.3970573004335,,Absorption_response,5.699999999999998,Game Task,1,6,,Marker Started at 4,The Long Dark
ESQ,334.4007558003068,,Focus_start,,Game Task,1,6,,,The Long Dark
ESQ,339.0767164006829,,Focus_response,10.0,Game Task,1,6,,Marker Started at 4,The Long Dark
ESQ,339.0799832008779,,Problem_start,,Game Task,1,6,,,The Long Dark
ESQ,343.7769012004137,,Problem_response,10.0,Game Task,1,6,,Marker Started at 8,The Long Dark
ESQ,343.7805203013122,,Emotion_start,,Game Task,1,6,,,The Long Dark
ESQ,348.9765834007412,,Emotion_response,6.499999999999995,Game Task,1,6,,Marker Started at 5,The Long Dark
ESQ,348.97947829961777,,Intrusive_start,,Game Task,1,6,,,The Long Dark
ESQ,356.4436280000955,,Intrusive_response,3.9999999999999987,Game Task,1,6,,Marker Started at 5,The Long Dark
ESQ,356.4478852003813,,Self_start,,Game Task,1,6,,,The Long Dark
ESQ,360.2968908008188,,Self_response,4.10000000000001,Game Task,1,6,,Marker Started at 8,The Long Dark
ESQ,360.29994700104,,Future_start,,Game Task,1,6,,,The Long Dark
ESQ,365.39811460115016,,Future_response,5.799999999999999,Game Task,1,6,,Marker Started at 3,The Long Dark
ESQ,365.4015448000282,,Distracting_start,,Game Task,1,6,,,The Long Dark
ESQ,370.25834090076387,,Distracting_response,5.20000000000001,Game Task,1,6,,Marker Started at 8,The Long Dark
