METADATA:
Experiment Seed,Number of Games,Subject
6353062,6,005
Time after setup,331.5808082995936
Timepoint,Time,Is_correct,Experience Sampling Question,Experience Sampling Response,Task,Task Iteration,Participant ID,Response_Key,Auxillary Data,Assoc Task
EXPERIMENT DATA:,Game Task
Start Time,351.95678959973156
Game Task Start,352.2326504997909,,,,Game Task,1,6,,,
Game Init,579.0360638997518,,,,Game Task,1,6,,,
Game Start,579.0361295999028,,,,Game Task,1,6,,The Long Dark,
ESQ 1,766.943837299943,,,,Game Task,1,6,,181.71589686939103,
ESQ,780.9357130997814,,Intrusive_start,,Game Task,1,6,,,The Long Dark
ESQ,790.3079708996229,,Intrusive_response,3.5999999999999996,Game Task,1,6,,Marker Started at 4,The Long Dark
ESQ,790.3113107997924,,Past_start,,Game Task,1,6,,,The Long Dark
ESQ,791.4082045997493,,Past_response,10.0,Game Task,1,6,,Marker Started at 10,The Long Dark
ESQ,791.4115687999874,,Detailed_start,,Game Task,1,6,,,The Long Dark
ESQ,802.2835460999049,,Detailed_response,4.1,Game Task,1,6,,Marker Started at 5,The Long Dark
ESQ,802.2862979997881,,Words_start,,Game Task,1,6,,,The Long Dark
ESQ,808.4209911995567,,Words_response,5.0000000000000036,Game Task,1,6,,Marker Started at 6,The Long Dark
ESQ,808.4241534997709,,Future_start,,Game Task,1,6,,,The Long Dark
ESQ,816.6709200995974,,Future_response,2.0,Game Task,1,6,,Marker Started at 8,The Long Dark
ESQ,816.6742834998295,,Focus_start,,Game Task,1,6,,,The Long Dark
ESQ,825.1565601998009,,Focus_response,1.0,Game Task,1,6,,Marker Started at 9,The Long Dark
ESQ,825.1603126996197,,Emotion_start,,Game Task,1,6,,,The Long Dark
ESQ,833.2316114995629,,Emotion_response,3.2999999999999985,Game Task,1,6,,Marker Started at 5,The Long Dark
ESQ,833.2348397998139,,Sounds_start,,Game Task,1,6,,,The Long Dark
ESQ,841.1263721999712,,Sounds_response,6.399999999999999,Game Task,1,6,,Marker Started at 6,The Long Dark
ESQ,841.1300025996752,,Self_start,,Game Task,1,6,,,The Long Dark
ESQ,847.7945698997937,,Self_response,5.30000000000001,Game Task,1,6,,Marker Started at 8,The Long Dark
ESQ,847.7987807998434,,Images_start,,Game Task,1,6,,,The Long Dark
ESQ,856.9793437998742,,Images_response,7.099999999999996,Game Task,1,6,,Marker Started at 6,The Long Dark
ESQ,856.9836042998359,,Other_start,,Game Task,1,6,,,The Long Dark
ESQ,862.421057399828,,Other_response,5.000000000000014,Game Task,1,6,,Marker Started at 9,The Long Dark
ESQ,862.4244177998044,,Deliberate_start,,Game Task,1,6,,,The Long Dark
ESQ,867.549373799935,,Deliberate_response,3.3999999999999995,Game Task,1,6,,Marker Started at 4,The Long Dark
ESQ,867.552904299926,,Problem_start,,Game Task,1,6,,,The Long Dark
ESQ,871.4703566995449,,Problem_response,7.69999999999999,Game Task,1,6,,Marker Started at 5,The Long Dark
ESQ,871.4733604998328,,Distracting_start,,Game Task,1,6,,,The Long Dark
ESQ,876.285431499593,,Distracting_response,3.0,Game Task,1,6,,Marker Started at 3,The Long Dark
ESQ,876.2895568995737,,Absorption_start,,Game Task,1,6,,,The Long Dark
ESQ,880.0448071998544,,Absorption_response,10.0,Game Task,1,6,,Marker Started at 10,The Long Dark
ESQ,880.0488593997434,,Knowledge_start,,Game Task,1,6,,,The Long Dark
ESQ,886.4071819996461,,Knowledge_response,3.0,Game Task,1,6,,Marker Started at 3,The Long Dark
ESQ 2,1114.5244609997608,,,,Game Task,1,6,,399.6025452898412,
ESQ,1118.5456480998546,,Other_start,,Game Task,1,6,,,The Long Dark
ESQ,1124.4438568996266,,Other_response,7.79999999999999,Game Task,1,6,,Marker Started at 5,The Long Dark
ESQ,1124.4468590999022,,Deliberate_start,,Game Task,1,6,,,The Long Dark
ESQ,1128.409888099879,,Deliberate_response,7.199999999999996,Game Task,1,6,,Marker Started at 6,The Long Dark
ESQ,1128.41276249988,,Knowledge_start,,Game Task,1,6,,,The Long Dark
ESQ,1133.0791009999812,,Knowledge_response,5.0,Game Task,1,6,,Marker Started at 5,The Long Dark
ESQ,1133.08177109994,,Future_start,,Game Task,1,6,,,The Long Dark
ESQ,1135.7911639995873,,Future_response,3.0,Game Task,1,6,,Marker Started at 3,The Long Dark
ESQ,1135.7951048999093,,Self_start,,Game Task,1,6,,,The Long Dark
ESQ,1137.9809008999728,,Self_response,9.0,Game Task,1,6,,Marker Started at 9,The Long Dark
ESQ,1137.9841768997721,,Absorption_start,,Game Task,1,6,,,The Long Dark
ESQ,1140.46117949998,,Absorption_response,6.0,Game Task,1,6,,Marker Started at 6,The Long Dark
ESQ,1140.4641196997836,,Words_start,,Game Task,1,6,,,The Long Dark
ESQ,1146.655044999905,,Words_response,4.0,Game Task,1,6,,Marker Started at 4,The Long Dark
ESQ,1146.6592625998892,,Past_start,,Game Task,1,6,,,The Long Dark
ESQ,1152.6036120997742,,Past_response,5.600000000000012,Game Task,1,6,,Marker Started at 9,The Long Dark
ESQ,1152.6072404999286,,Problem_start,,Game Task,1,6,,,The Long Dark
ESQ,1157.670641799923,,Problem_response,10.0,Game Task,1,6,,Marker Started at 7,The Long Dark
ESQ,1157.6734944996424,,Intrusive_start,,Game Task,1,6,,,The Long Dark
ESQ,1160.3749027997255,,Intrusive_response,7.6999999999999975,Game Task,1,6,,Marker Started at 7,The Long Dark
ESQ,1160.3784459996969,,Emotion_start,,Game Task,1,6,,,The Long Dark
ESQ,1164.9314851998352,,Emotion_response,6.200000000000006,Game Task,1,6,,Marker Started at 8,The Long Dark
ESQ,1164.9347492996603,,Sounds_start,,Game Task,1,6,,,The Long Dark
ESQ,1168.171440999955,,Sounds_response,7.9999999999999964,Game Task,1,6,,Marker Started at 7,The Long Dark
ESQ,1168.1743085999042,,Distracting_start,,Game Task,1,6,,,The Long Dark
ESQ,1172.0692698997445,,Distracting_response,5.100000000000003,Game Task,1,6,,Marker Started at 6,The Long Dark
ESQ,1172.0732534998097,,Detailed_start,,Game Task,1,6,,,The Long Dark
ESQ,1175.8973921998404,,Detailed_response,8.0,Game Task,1,6,,Marker Started at 8,The Long Dark
ESQ,1175.9008418996818,,Focus_start,,Game Task,1,6,,,The Long Dark
ESQ,1181.3472455996089,,Focus_response,4.1,Game Task,1,6,,Marker Started at 5,The Long Dark
ESQ,1181.3501465995796,,Images_start,,Game Task,1,6,,,The Long Dark
ESQ,1183.7192691997625,,Images_response,8.0,Game Task,1,6,,Marker Started at 8,The Long Dark
