METADATA:
Experiment Seed,Number of Games,Subject
4456318,6,007
Time after setup,13.662415300001157
Timepoint,Time,Is_correct,Experience Sampling Question,Experience Sampling Response,Task,Task Iteration,Participant ID,Response_Key,Auxillary Data,Assoc Task
 
Runtime Mod,-12
EXPERIMENT DATA:,Game Task
Start Time,21.886181000008946
EXPERIMENT DATA:,Experience Sampling Questions,,,,,,,,,
Start Time,365.0214535999985,,,,,,,,,
ESQ,378.96311740000965,,Deliberate_response,10.0,Game Task,1,6,,Marker Started at 10,Viewfinder
ESQ,384.6530771999969,,Past_response,2.0999999999999996,Game Task,1,6,,Marker Started at 7,Viewfinder
ESQ,387.70735690000583,,Self_response,6.000000000000007,Game Task,1,6,,Marker Started at 8,Viewfinder
ESQ,391.4727672000008,,Absorption_response,9.69999999999999,Game Task,1,6,,Marker Started at 7,Viewfinder
ESQ,395.2780047999986,,Emotion_response,9.799999999999986,Game Task,1,6,,Marker Started at 2,Viewfinder
ESQ,399.4427517000004,,Focus_response,9.999999999999986,Game Task,1,6,,Marker Started at 2,Viewfinder
ESQ,404.59197320000385,,Words_response,1.5999999999999983,Game Task,1,6,,Marker Started at 4,Viewfinder
ESQ,407.656870900013,,Intrusive_response,1.3999999999999977,Game Task,1,6,,Marker Started at 5,Viewfinder
ESQ,410.5867324999999,,Sounds_response,8.699999999999989,Game Task,1,6,,Marker Started at 4,Viewfinder
ESQ,413.2086853000219,,Detailed_response,8.799999999999986,Game Task,1,6,,Marker Started at 5,Viewfinder
ESQ,416.15669600002,,Images_response,10.0,Game Task,1,6,,Marker Started at 5,Viewfinder
ESQ,420.40499840001576,,Problem_response,9.299999999999988,Game Task,1,6,,Marker Started at 2,Viewfinder
ESQ,425.33304920000955,,Future_response,6.800000000000004,Game Task,1,6,,Marker Started at 8,Viewfinder
ESQ,430.0193326000008,,Other_response,5.600000000000012,Game Task,1,6,,Marker Started at 9,Viewfinder
ESQ,434.74857140000677,,Distracting_response,1.0,Game Task,1,6,,Marker Started at 9,Viewfinder
ESQ,437.9589452999935,,Knowledge_response,1.6999999999999975,Game Task,1,6,,Marker Started at 5,Viewfinder
EXPERIMENT DATA:,Experience Sampling Questions,,,,,,,,,
Start Time,656.2386337000062,,,,,,,,,
ESQ,661.6348984000215,,Detailed_response,8.699999999999989,Game Task,1,6,,Marker Started at 4,Viewfinder
ESQ,664.4570480000111,,Distracting_response,1.3999999999999972,Game Task,1,6,,Marker Started at 5,Viewfinder
ESQ,666.9285620000155,,Images_response,9.299999999999986,Game Task,1,6,,Marker Started at 4,Viewfinder
ESQ,669.4956031000183,,Intrusive_response,2.1000000000000045,Game Task,1,6,,Marker Started at 7,Viewfinder
ESQ,673.4223683000018,,Past_response,2.900000000000009,Game Task,1,6,,Marker Started at 8,Viewfinder
ESQ,676.1149276000215,,Focus_response,9.999999999999986,Game Task,1,6,,Marker Started at 6,Viewfinder
ESQ,678.5565839000046,,Words_response,1.6999999999999984,Game Task,1,6,,Marker Started at 4,Viewfinder
ESQ,680.8586290999956,,Deliberate_response,9.799999999999997,Game Task,1,6,,Marker Started at 9,Viewfinder
ESQ,684.744769300014,,Sounds_response,2.7000000000000157,Game Task,1,6,,Marker Started at 10,Viewfinder
ESQ,687.059955100005,,Emotion_response,9.899999999999997,Game Task,1,6,,Marker Started at 9,Viewfinder
ESQ,690.2590846999956,,Self_response,6.000000000000007,Game Task,1,6,,Marker Started at 8,Viewfinder
ESQ,693.5060090000043,,Future_response,7.299999999999992,Game Task,1,6,,Marker Started at 5,Viewfinder
