Movie,Question 1,Question 1 Answer,Question 2,Question 2 Answer,Question 3,Question 3 Answer
The Godfather,"Fill in the blank ""you didnt even think to call me __"" 
A. Sir
B. Godfather
C. Father
D. Lord",B. Godfather,"It is is the day of
A. His sons wedding
B. his father funeral
C. His daughters wedding
D. His mothers funeral ",C. His daughters wedding,"What is his name:
A. Don Correlone
B. Don Hector
C. Don Colombo
D. Don Barbieri",A. Don Correlone
Fight Club,"What did Ramond study
A. Biology, 
B. Chemistry
C. Psychology
D. Physics","A. Biology, ","What did Ramond want to be
A. Doctor
B. Dentist
C. Veterinarian
D. Nurse ",C. Veterinarian,"Wht colour was Tyler's jacket
A. Red
B. Blue
C. Black
D. Grey",A. Red
Bottoms,"What is the word underlined on the chalkboard?

A. Homework
B. Feminism 
C. Finance 
D. Detention 
",B. Feminism ,"What is the word written on the football jersey?

A. Tigers
B. Viking 
C. Lions 
D. Villain 

",B. Viking ,"What is the colour of the mat on the gym floor?

A. Grey 
B. Blue 
C. Red 
D. Green 
",B. Blue 
The Devil Wears Prada,"What is the colour of Anne Hathaway’s jacket?

A. Beige
B. Black
C. White 
D. Blue 
",A. Beige,"What is the drink the receptionist pours into the glass?

A. Coffee
B. Tea
C. Juice 
D. Water
",D. Water,"What is the name of the magazine that Meryl Streepe is holding?

A. Fashion Forward
B. Runway 
C. Looks 
D. Today’s Trends 
",B. Runway 
Enchanted,"What is the colour of the lamp beside Amy Adams?

A. Blue 
B. Yellow 
C. Red 
D. White
",A. Blue ,"What is the word that both characters repeat to each other?

A. Yes
B. No 
C. Stop 
D. Now

",B. No ,"What are the colour of the curtains behind Amy Adams?

A. Red
B. Black
C. Green
D. Yellow

",C. Green
Despicable Me Clip 2,"How many kittens puppets are apart of the book?

A. 1
B. 5
C. 4
D. 3
",D. 3,"What are the animal on Agnes’s pyjamas?

A. Bears 
B. Dogs 
C. Kittens 
D. Unicorns 

",A. Bears ,"What is the sports ball beside the three girls drawings?

A. Basketball
B. Tennis ball 
C. Golf ball
D. Soccer Ball

",D. Soccer Ball
Zoolander,"What drink is Will Ferrell given? 
A. Latte
B. Cappacino
C. Tea
D. Water",A. Latte,"What is the name of the model Will Ferrel shows
A. The Derick Zoolander School for Children Who Can't read good 
B. The Derick Zoolander Center for Children Who Can't read good 
C. Derick Zoolander School for Children Who Can't learn good 
D. Derick Zoolander centre for Children Who Can't learn good ",B. The Derick Zoolander Center for Children Who Can't read good ,"What is the dog wearing 
A. Shoes
B. Hat
C. Coat
D. Scarf",C. Coat
Inscapes Clip 1,"What is the shape shown after the background change? 
A. Triangle
B. Circle
C. Rectangle
D. Square",B. Circle,"What is the colour of the background in the first clip?
A. Purple
B. Green
C. Pink
D. Yellow",A. Purple,"What is the animal shown in the last part of the clip?
A. Shark
B. Fish
C. Whale
D. Stingray",D. Stingray
Jumanji,"How many dice do they roll in the game?
A. One
B. Two
C. Three
D. Five",B. Two,"What is the number outside the house?
A. 40
B. 56
C. 1356
D. 1300",C. 1356,"What is Robin Williams holding while exiting the house?
A. The game
B. Nothing
C. Dice
D. Sword",D. Sword
Little Miss Sunshine,"What is the name of the manor in the clip?
A. Golf Manor
B. Vacation Manor
C. Sunset Manor
D. Sunrise Manor",C. Sunset Manor,"What type of vehicle is the family driving
A. SUV
B. Truck
C. Car
D. School bus","B. Truck
","What is the number on the young girl's jersey? 
A. 68 
B. 46
C. 30
D. 28",A. 68 
Mrs Doubtfire,"What word does the mother state when she finds out Mrs. Doubtfire's identity
A. She is silent
B. How could you
C. Stay here
D. I have to leave",D. I have to leave,"What is the colour of Mrs. Doubfire's dress? 
A. Orange 
B. Pink
C. Red
D. Blue",D. Blue,"What is the food item that was being choked on? 
A. Grape
B. Shrimp
C. Carrots
D. Chicken",B. Shrimp
The Blindside,"What item is Sandra Bullock holding in her hand at the start of the clip?
A. Cellphone
B. Mug
C. Briefcase
D. Plate",A. Cellphone,"What is helping to survey the car crash site?
A. Pedestrians 
B. Doctors
C. Firefighters
D. Police","C. Firefighters
","What type of car is Michael driving?
A. Pick up truck 
B. SUV
C. Minivan
D. Sports car","
A. Pick up truck "
The Proposal,"What is the colour of the tie word by Ryan Reynolds? 
A. Blue 
B. Black
C. Red
D. Green",C. Red,"What is the hairstyle worn by Sandra Bullock
A. Bun
B. Her hair is down
C. Braid
D. Ponytail",D. Ponytail,"What is Ryan Renyold's job?
A. Secretary
B. Teacher
C. Corporate Executive 
D. Lawyer",A. Secretary
The Pursuit Of Happiness,"What colour is the paint on Will Smith's body
A. Green
B. Black
C. White
D. Blue",C. White,"How many people were in Will Smith's high school class 
A. 10
B. 120
C. 27
D. 12",D. 12,"What was Will Smith arrested for 
A. Failure to pay parking tickets 
B. Loitering
C. Tresspassing
D. Speeding",A. Failure to pay parking tickets 
The Dark Knight,"Who is the Joker looking for when he first enters
A. Batman
B. Alfred
C. Harvey Dent
D. Bruce Wayne",C. Harvey Dent,"Who does the Joker say he hates 
A. His father
B. His Mother
C. His Brother
D. Batman",A. His father,"How did the Joker get his scars 
A. He wife did it to him
B. He did it to himself
C. His father did it 
D. Freak accident",B. He did it to himself
The Conjuring,"What is the mother wearing
A. Hoodie
B. Robe
C. Night-gown
D. T-shirt",B. Robe,"What scares the mother and makes her run up the stairs 
A. A bouncing ball
B. A scream
C. Another person
D. Nothing",A. A bouncing ball,"What game does the voice at the end ask to play
A. Hide and seek
B. Hide and clap
C. Tag
D. A race",B. Hide and clap
