METADATA:
Experiment Seed,Number of Games,Subject
7104049,6,111
Time after setup,9.250654401257634
Timepoint,Time,Is_correct,Experience Sampling Question,Experience Sampling Response,Task,Task Iteration,Participant ID,Response_Key,Auxillary Data,Assoc Task
 
Runtime Mod,7
EXPERIMENT DATA:,Game Task
Start Time,86.71199900098145
EXPERIMENT DATA:,Experience Sampling Questions,,,,,,,,,
Start Time,414.7194662000984,,,,,,,,,
ESQ,422.40805500000715,,Sounds_response,3.5000000000000004,Game Task,1,6,,Marker Started at 3,NBA 2K24
ESQ,424.28586590103805,,Focus_response,3.3000000000000003,Game Task,1,6,,Marker Started at 3,NBA 2K24
ESQ,425.96659990027547,,Absorption_response,6.499999999999998,Game Task,1,6,,Marker Started at 6,NBA 2K24
ESQ,427.2865682002157,,Intrusive_response,3.0,Game Task,1,6,,Marker Started at 3,NBA 2K24
ESQ,468.706038299948,,Images_response,2.0,Game Task,1,6,,Marker Started at 2,NBA 2K24
ESQ,497.1567593012005,,Deliberate_response,10.0,Game Task,1,6,,Marker Started at 10,NBA 2K24
ESQ,499.2569406013936,,Detailed_response,5.800000000000004,Game Task,1,6,,Marker Started at 7,NBA 2K24
ESQ,500.9366165008396,,Distracting_response,2.3999999999999995,Game Task,1,6,,Marker Started at 3,NBA 2K24
ESQ,502.97661150060594,,Emotion_response,6.299999999999999,Game Task,1,6,,Marker Started at 6,NBA 2K24
ESQ,504.5065391007811,,Future_response,7.6999999999999975,Game Task,1,6,,Marker Started at 7,NBA 2K24
ESQ,506.2066647000611,,Words_response,6.799999999999997,Game Task,1,6,,Marker Started at 6,NBA 2K24
ESQ,507.9067171998322,,Knowledge_response,7.500000000000002,Game Task,1,6,,Marker Started at 8,NBA 2K24
ESQ,516.5968446005136,,Other_response,4.0,Game Task,1,6,,Marker Started at 4,NBA 2K24
ESQ,517.706737101078,,Past_response,7.0,Game Task,1,6,,Marker Started at 7,NBA 2K24
ESQ,518.9668942000717,,Self_response,9.0,Game Task,1,6,,Marker Started at 9,NBA 2K24
ESQ,520.2617872003466,,Problem_response,10.0,Game Task,1,6,,Marker Started at 10,NBA 2K24
EXPERIMENT DATA:,Experience Sampling Questions,,,,,,,,,
Start Time,742.6215337999165,,,,,,,,,
ESQ,745.7268249001354,,Self_response,2.0,Game Task,1,6,,Marker Started at 2,NBA 2K24
ESQ,747.3927464000881,,Images_response,4.0,Game Task,1,6,,Marker Started at 4,NBA 2K24
ESQ,749.426624700427,,Distracting_response,2.0,Game Task,1,6,,Marker Started at 2,NBA 2K24
ESQ,751.6566538009793,,Emotion_response,6.0,Game Task,1,6,,Marker Started at 6,NBA 2K24
ESQ,753.6368241999298,,Past_response,4.0,Game Task,1,6,,Marker Started at 4,NBA 2K24
ESQ,758.7968563009053,,Knowledge_response,4.0,Game Task,1,6,,Marker Started at 4,NBA 2K24
ESQ,761.3068834003061,,Future_response,10.0,Game Task,1,6,,Marker Started at 10,NBA 2K24
ESQ,763.6061851009727,,Problem_response,10.0,Game Task,1,6,,Marker Started at 10,NBA 2K24
ESQ,766.7662607003003,,Intrusive_response,7.0,Game Task,1,6,,Marker Started at 7,NBA 2K24
ESQ,769.0964203998446,,Deliberate_response,6.0,Game Task,1,6,,Marker Started at 6,NBA 2K24
