METADATA:
Experiment Seed,Number of Games,Subject
9358211,6,111
Time after setup,23.39132139994763
Timepoint,Time,Is_correct,Experience Sampling Question,Experience Sampling Response,Task,Task Iteration,Participant ID,Response_Key,Auxillary Data,Assoc Task
EXPERIMENT DATA:,Game Task
Start Time,32.98740169999655
Game Task Start,33.251759900012985,,,,Game Task,1,6,,,
Game Init,347.879567499971,,,,Game Task,1,6,,,
Game Start,347.8796156999888,,,,Game Task,1,6,,NBA 2K24,
ESQ 1,554.2931798000354,,,,Game Task,1,6,,195.42457570823765,
ESQ,556.7076612999663,,Past_start,,Game Task,1,6,,,NBA 2K24
ESQ,558.3671809999505,,Past_response,7.0,Game Task,1,6,,Marker Started at 7,NBA 2K24
ESQ,558.3699931999436,,Problem_start,,Game Task,1,6,,,NBA 2K24
ESQ,559.7734977999935,,Problem_response,5.0,Game Task,1,6,,Marker Started at 5,NBA 2K24
ESQ,559.777169900015,,Detailed_start,,Game Task,1,6,,,NBA 2K24
ESQ,560.8450099000474,,Detailed_response,2.0,Game Task,1,6,,Marker Started at 2,NBA 2K24
ESQ,560.8481211999897,,Images_start,,Game Task,1,6,,,NBA 2K24
ESQ,562.0890228999779,,Images_response,4.0,Game Task,1,6,,Marker Started at 4,NBA 2K24
ESQ,562.0901135000167,,Future_start,,Game Task,1,6,,,NBA 2K24
ESQ,563.160932000028,,Future_response,5.0,Game Task,1,6,,Marker Started at 5,NBA 2K24
ESQ,563.1643445999362,,Distracting_start,,Game Task,1,6,,,NBA 2K24
ESQ,565.521510599996,,Distracting_response,5.0,Game Task,1,6,,Marker Started at 5,NBA 2K24
ESQ,565.5247759999475,,Deliberate_start,,Game Task,1,6,,,NBA 2K24
ESQ,566.8936737000477,,Deliberate_response,8.0,Game Task,1,6,,Marker Started at 8,NBA 2K24
ESQ,566.8973185999785,,Sounds_start,,Game Task,1,6,,,NBA 2K24
ESQ,568.0135607999982,,Sounds_response,9.0,Game Task,1,6,,Marker Started at 9,NBA 2K24
ESQ,568.0177910999628,,Other_start,,Game Task,1,6,,,NBA 2K24
ESQ,569.1328698999714,,Other_response,9.0,Game Task,1,6,,Marker Started at 9,NBA 2K24
ESQ,569.1368017999921,,Absorption_start,,Game Task,1,6,,,NBA 2K24
ESQ,570.3138251999626,,Absorption_response,7.0,Game Task,1,6,,Marker Started at 7,NBA 2K24
ESQ,570.3174307999434,,Words_start,,Game Task,1,6,,,NBA 2K24
ESQ,571.4302428000374,,Words_response,4.0,Game Task,1,6,,Marker Started at 4,NBA 2K24
ESQ,571.4337880000239,,Intrusive_start,,Game Task,1,6,,,NBA 2K24
ESQ,572.5639966999879,,Intrusive_response,7.0,Game Task,1,6,,Marker Started at 7,NBA 2K24
ESQ,572.568552599987,,Focus_start,,Game Task,1,6,,,NBA 2K24
ESQ,574.7352468000026,,Focus_response,7.0,Game Task,1,6,,Marker Started at 7,NBA 2K24
ESQ,574.7390577000333,,Knowledge_start,,Game Task,1,6,,,NBA 2K24
ESQ,576.1414944999851,,Knowledge_response,2.0,Game Task,1,6,,Marker Started at 2,NBA 2K24
ESQ,576.145939799957,,Self_start,,Game Task,1,6,,,NBA 2K24
ESQ,577.483220999944,,Self_response,5.0,Game Task,1,6,,Marker Started at 5,NBA 2K24
ESQ,577.4868959999876,,Emotion_start,,Game Task,1,6,,,NBA 2K24
ESQ,578.9491234000307,,Emotion_response,4.0,Game Task,1,6,,Marker Started at 4,NBA 2K24
ESQ 2,882.8275598000037,,,,Game Task,1,6,,429.562100553053,
ESQ,884.0791233000346,,Future_start,,Game Task,1,6,,,NBA 2K24
