METADATA:
Experiment Seed,Number of Games,Subject
6047679,6,Enter Name Here
Time after setup,0.4628802000079304
Timepoint,Time,Is_correct,Experience Sampling Question,Experience Sampling Response,Task,Task Iteration,Participant ID,Response_Key,Auxillary Data,Assoc Task
 
Runtime Mod,10
EXPERIMENT DATA:,Game Task
Start Time,4.157447899924591
EXPERIMENT DATA:,Experience Sampling Questions,,,,,,,,,
Start Time,378.3461980000138,,,,,,,,,
ESQ,392.0124904999975,,Focus_response,8.000000000000004,Game Task,1,6,,Marker Started at 9,The Long Dark
ESQ,398.6548379000742,,Emotion_response,8.099999999999989,Game Task,1,6,,Marker Started at 5,The Long Dark
ESQ,406.8379216999747,,Sounds_response,7.0,Game Task,1,6,,Marker Started at 7,The Long Dark
ESQ,414.40230119996704,,Intrusive_response,1.600000000000008,Game Task,1,6,,Marker Started at 8,The Long Dark
ESQ,418.87368239997886,,Other_response,4.900000000000002,Game Task,1,6,,Marker Started at 2,The Long Dark
ESQ,422.2482277001254,,Absorption_response,7.0,Game Task,1,6,,Marker Started at 7,The Long Dark
ESQ,424.5661226999946,,Images_response,7.0,Game Task,1,6,,Marker Started at 7,The Long Dark
ESQ,429.06367910001427,,Self_response,10.0,Game Task,1,6,,Marker Started at 9,The Long Dark
ESQ,434.6757918000221,,Deliberate_response,2.499999999999998,Game Task,1,6,,Marker Started at 5,The Long Dark
ESQ,440.7907346000429,,Past_response,5.3000000000000025,Game Task,1,6,,Marker Started at 6,The Long Dark
ESQ,444.32803490012884,,Words_response,7.199999999999996,Game Task,1,6,,Marker Started at 6,The Long Dark
ESQ,450.3176301999483,,Problem_response,3.9000000000000097,Game Task,1,6,,Marker Started at 8,The Long Dark
ESQ,455.84101069997996,,Distracting_response,4.800000000000007,Game Task,1,6,,Marker Started at 7,The Long Dark
ESQ,461.5296108999755,,Knowledge_response,5.4,Game Task,1,6,,Marker Started at 3,The Long Dark
ESQ,467.94327259995043,,Future_response,7.600000000000001,Game Task,1,6,,Marker Started at 8,The Long Dark
ESQ,471.4317113000434,,Detailed_response,6.200000000000003,Game Task,1,6,,Marker Started at 7,The Long Dark
EXPERIMENT DATA:,Experience Sampling Questions,,,,,,,,,
Start Time,618.2463116000872,,,,,,,,,
ESQ,628.895723399939,,Knowledge_response,5.799999999999998,Game Task,1,6,,Marker Started at 4,The Long Dark
ESQ,634.6680525001138,,Past_response,6.400000000000013,Game Task,1,6,,Marker Started at 10,The Long Dark
ESQ,638.8826353000477,,Emotion_response,7.599999999999991,Game Task,1,6,,Marker Started at 5,The Long Dark
ESQ,643.3681830000132,,Problem_response,7.9999999999999964,Game Task,1,6,,Marker Started at 7,The Long Dark
ESQ,647.2944150001276,,Words_response,6.999999999999994,Game Task,1,6,,Marker Started at 4,The Long Dark
ESQ,650.3819566001184,,Images_response,8.199999999999992,Game Task,1,6,,Marker Started at 6,The Long Dark
ESQ,653.8915484999306,,Intrusive_response,1.1,Game Task,1,6,,Marker Started at 2,The Long Dark
ESQ,656.9208877000492,,Self_response,8.800000000000004,Game Task,1,6,,Marker Started at 10,The Long Dark
ESQ,660.6775305999909,,Distracting_response,7.400000000000006,Game Task,1,6,,Marker Started at 9,The Long Dark
ESQ,663.6011401999276,,Future_response,7.799999999999994,Game Task,1,6,,Marker Started at 6,The Long Dark
ESQ,668.8220737001393,,Deliberate_response,5.6000000000000085,Game Task,1,6,,Marker Started at 8,The Long Dark
ESQ,673.7241974000353,,Detailed_response,5.2,Game Task,1,6,,Marker Started at 4,The Long Dark
ESQ,678.184298899956,,Sounds_response,8.59999999999999,Game Task,1,6,,Marker Started at 2,The Long Dark
ESQ,682.3857374999207,,Focus_response,7.699999999999992,Game Task,1,6,,Marker Started at 3,The Long Dark
ESQ,685.6433296001051,,Other_response,1.1,Game Task,1,6,,Marker Started at 2,The Long Dark
ESQ,688.6940798000433,,Absorption_response,6.6999999999999975,Game Task,1,6,,Marker Started at 6,The Long Dark
EXPERIMENT DATA:,Experience Sampling Questions,,,,,,,,,
Start Time,879.3307980000973,,,,,,,,,
ESQ,886.5483031000476,,Focus_response,2.599999999999998,Game Task,1,6,,Marker Started at 5,The Long Dark
ESQ,889.2263795000035,,Future_response,8.0,Game Task,1,6,,Marker Started at 8,The Long Dark
ESQ,893.0362428999506,,Distracting_response,1.7999999999999985,Game Task,1,6,,Marker Started at 4,The Long Dark
ESQ,895.9313288999256,,Absorption_response,7.099999999999996,Game Task,1,6,,Marker Started at 6,The Long Dark
ESQ,899.2521967000794,,Past_response,3.1999999999999984,Game Task,1,6,,Marker Started at 5,The Long Dark
