METADATA:
Experiment Seed,Number of Games,Subject
1131068,6,testrun
Time after setup,5.675446200009901
Timepoint,Time,Is_correct,Experience Sampling Question,Experience Sampling Response,Task,Task Iteration,Participant ID,Response_Key,Auxillary Data,Assoc Task
 
Runtime Mod,5
EXPERIMENT DATA:,Game Task
Start Time,10.523669999995036
EXPERIMENT DATA:,Experience Sampling Questions,,,,,,,,,
Start Time,347.9517577000079,,,,,,,,,
ESQ,351.26434550000704,,Sounds_response,2.0,Game Task,1,6,,Marker Started at 2,Dirt 5
ESQ,352.62449849999393,,Past_response,5.0,Game Task,1,6,,Marker Started at 5,Dirt 5
ESQ,353.76430509999045,,Deliberate_response,2.0,Game Task,1,6,,Marker Started at 2,Dirt 5
ESQ,355.1641537999967,,Other_response,5.0,Game Task,1,6,,Marker Started at 5,Dirt 5
ESQ,356.3343800000148,,Intrusive_response,3.0,Game Task,1,6,,Marker Started at 3,Dirt 5
ESQ,357.53440010000486,,Detailed_response,10.0,Game Task,1,6,,Marker Started at 10,Dirt 5
ESQ,358.73453940000036,,Absorption_response,2.0,Game Task,1,6,,Marker Started at 2,Dirt 5
ESQ,360.22434429998975,,Emotion_response,4.0,Game Task,1,6,,Marker Started at 4,Dirt 5
ESQ,361.3143643999938,,Knowledge_response,8.0,Game Task,1,6,,Marker Started at 8,Dirt 5
ESQ,362.5840831999958,,Words_response,8.0,Game Task,1,6,,Marker Started at 8,Dirt 5
ESQ,363.664437600004,,Self_response,7.0,Game Task,1,6,,Marker Started at 7,Dirt 5
ESQ,364.7741676000005,,Future_response,8.0,Game Task,1,6,,Marker Started at 8,Dirt 5
ESQ,365.99402539999573,,Distracting_response,7.0,Game Task,1,6,,Marker Started at 7,Dirt 5
ESQ,367.32703459999175,,Focus_response,9.0,Game Task,1,6,,Marker Started at 9,Dirt 5
ESQ,369.5642416999908,,Images_response,10.0,Game Task,1,6,,Marker Started at 10,Dirt 5
ESQ,371.1252921000123,,Problem_response,4.0,Game Task,1,6,,Marker Started at 4,Dirt 5
EXPERIMENT DATA:,Experience Sampling Questions,,,,,,,,,
Start Time,498.2851370999997,,,,,,,,,
ESQ,500.79416550000315,,Images_response,4.6000000000000005,Game Task,1,6,,Marker Started at 4,Dirt 5
ESQ,502.4543102000025,,Problem_response,8.0,Game Task,1,6,,Marker Started at 8,Dirt 5
ESQ,504.79436940001324,,Future_response,8.000000000000007,Game Task,1,6,,Marker Started at 10,Dirt 5
ESQ,506.33404710001196,,Emotion_response,4.3999999999999995,Game Task,1,6,,Marker Started at 5,Dirt 5
ESQ,508.59412630001316,,Sounds_response,8.200000000000003,Game Task,1,6,,Marker Started at 9,Dirt 5
ESQ,510.15698020000127,,Other_response,4.299999999999999,Game Task,1,6,,Marker Started at 5,Dirt 5
ESQ,511.7941635999887,,Self_response,9.400000000000002,Game Task,1,6,,Marker Started at 10,Dirt 5
ESQ,513.2460634000017,,Detailed_response,6.400000000000002,Game Task,1,6,,Marker Started at 7,Dirt 5
ESQ,514.9940234000096,,Deliberate_response,6.900000000000004,Game Task,1,6,,Marker Started at 8,Dirt 5
ESQ,516.7304202000087,,Focus_response,7.500000000000005,Game Task,1,6,,Marker Started at 9,Dirt 5
ESQ,518.42422049999,,Absorption_response,3.3999999999999986,Game Task,1,6,,Marker Started at 5,Dirt 5
ESQ,520.2344561000064,,Knowledge_response,7.100000000000003,Game Task,1,6,,Marker Started at 8,Dirt 5
ESQ,521.8806095999898,,Intrusive_response,5.400000000000002,Game Task,1,6,,Marker Started at 6,Dirt 5
