METADATA:
Experiment Seed,Number of Games,Subject
1131068,6,testrun
Time after setup,5.67542479999247
Timepoint,Time,Is_correct,Experience Sampling Question,Experience Sampling Response,Task,Task Iteration,Participant ID,Response_Key,Auxillary Data,Assoc Task
EXPERIMENT DATA:,Game Task
Start Time,10.523654099990381
Game Task Start,10.727685799996834,,,,Game Task,1,6,,,
Game Init,13.850001499988139,,,,Game Task,1,6,,,
Game Start,13.850035300012678,,,,Game Task,1,6,,Dirt 5,
ESQ 1,347.95164340001065,,,,Game Task,1,6,,331.5574458955553,
ESQ,349.12536909998744,,Sounds_start,,Game Task,1,6,,,Dirt 5
ESQ,351.26434550000704,,Sounds_response,2.0,Game Task,1,6,,Marker Started at 2,Dirt 5
ESQ,351.26767739999923,,Past_start,,Game Task,1,6,,,Dirt 5
ESQ,352.62449849999393,,Past_response,5.0,Game Task,1,6,,Marker Started at 5,Dirt 5
ESQ,352.62864579999587,,Deliberate_start,,Game Task,1,6,,,Dirt 5
ESQ,353.76430509999045,,Deliberate_response,2.0,Game Task,1,6,,Marker Started at 2,Dirt 5
ESQ,353.76771489999373,,Other_start,,Game Task,1,6,,,Dirt 5
ESQ,355.1641537999967,,Other_response,5.0,Game Task,1,6,,Marker Started at 5,Dirt 5
ESQ,355.1683391999977,,Intrusive_start,,Game Task,1,6,,,Dirt 5
ESQ,356.3343800000148,,Intrusive_response,3.0,Game Task,1,6,,Marker Started at 3,Dirt 5
ESQ,356.33730630000355,,Detailed_start,,Game Task,1,6,,,Dirt 5
ESQ,357.53440010000486,,Detailed_response,10.0,Game Task,1,6,,Marker Started at 10,Dirt 5
ESQ,357.5372037999914,,Absorption_start,,Game Task,1,6,,,Dirt 5
ESQ,358.73453940000036,,Absorption_response,2.0,Game Task,1,6,,Marker Started at 2,Dirt 5
ESQ,358.73826559999725,,Emotion_start,,Game Task,1,6,,,Dirt 5
ESQ,360.22434429998975,,Emotion_response,4.0,Game Task,1,6,,Marker Started at 4,Dirt 5
ESQ,360.2282400999975,,Knowledge_start,,Game Task,1,6,,,Dirt 5
ESQ,361.3143643999938,,Knowledge_response,8.0,Game Task,1,6,,Marker Started at 8,Dirt 5
ESQ,361.31864750001114,,Words_start,,Game Task,1,6,,,Dirt 5
ESQ,362.5840831999958,,Words_response,8.0,Game Task,1,6,,Marker Started at 8,Dirt 5
ESQ,362.58705740000005,,Self_start,,Game Task,1,6,,,Dirt 5
ESQ,363.664437600004,,Self_response,7.0,Game Task,1,6,,Marker Started at 7,Dirt 5
ESQ,363.66875260000234,,Future_start,,Game Task,1,6,,,Dirt 5
ESQ,364.7741676000005,,Future_response,8.0,Game Task,1,6,,Marker Started at 8,Dirt 5
ESQ,364.7772704999952,,Distracting_start,,Game Task,1,6,,,Dirt 5
ESQ,365.99402539999573,,Distracting_response,7.0,Game Task,1,6,,Marker Started at 7,Dirt 5
ESQ,365.9976996000041,,Focus_start,,Game Task,1,6,,,Dirt 5
ESQ,367.32703459999175,,Focus_response,9.0,Game Task,1,6,,Marker Started at 9,Dirt 5
ESQ,367.32956230000127,,Images_start,,Game Task,1,6,,,Dirt 5
ESQ,369.5642416999908,,Images_response,10.0,Game Task,1,6,,Marker Started at 10,Dirt 5
ESQ,369.56763460001093,,Problem_start,,Game Task,1,6,,,Dirt 5
ESQ,371.1252921000123,,Problem_response,4.0,Game Task,1,6,,Marker Started at 4,Dirt 5
ESQ 2,498.2849470000074,,,,Game Task,1,6,,452.26697681772464,
ESQ,499.0641689999902,,Images_start,,Game Task,1,6,,,Dirt 5
ESQ,500.79416550000315,,Images_response,4.6000000000000005,Game Task,1,6,,Marker Started at 4,Dirt 5
ESQ,500.80154000001494,,Problem_start,,Game Task,1,6,,,Dirt 5
ESQ,502.4543102000025,,Problem_response,8.0,Game Task,1,6,,Marker Started at 8,Dirt 5
ESQ,502.45809249999,,Future_start,,Game Task,1,6,,,Dirt 5
ESQ,504.79436940001324,,Future_response,8.000000000000007,Game Task,1,6,,Marker Started at 10,Dirt 5
ESQ,504.79784849999123,,Emotion_start,,Game Task,1,6,,,Dirt 5
ESQ,506.33404710001196,,Emotion_response,4.3999999999999995,Game Task,1,6,,Marker Started at 5,Dirt 5
ESQ,506.3408863999939,,Sounds_start,,Game Task,1,6,,,Dirt 5
ESQ,508.59412630001316,,Sounds_response,8.200000000000003,Game Task,1,6,,Marker Started at 9,Dirt 5
ESQ,508.59701110000606,,Other_start,,Game Task,1,6,,,Dirt 5
ESQ,510.15698020000127,,Other_response,4.299999999999999,Game Task,1,6,,Marker Started at 5,Dirt 5
ESQ,510.15969969998696,,Self_start,,Game Task,1,6,,,Dirt 5
ESQ,511.7941635999887,,Self_response,9.400000000000002,Game Task,1,6,,Marker Started at 10,Dirt 5
ESQ,511.79791190000833,,Detailed_start,,Game Task,1,6,,,Dirt 5
ESQ,513.2460634000017,,Detailed_response,6.400000000000002,Game Task,1,6,,Marker Started at 7,Dirt 5
ESQ,513.2492498999927,,Deliberate_start,,Game Task,1,6,,,Dirt 5
ESQ,514.9940234000096,,Deliberate_response,6.900000000000004,Game Task,1,6,,Marker Started at 8,Dirt 5
ESQ,514.9968171000073,,Focus_start,,Game Task,1,6,,,Dirt 5
ESQ,516.7304202000087,,Focus_response,7.500000000000005,Game Task,1,6,,Marker Started at 9,Dirt 5
ESQ,516.7346434000065,,Absorption_start,,Game Task,1,6,,,Dirt 5
ESQ,518.42422049999,,Absorption_response,3.3999999999999986,Game Task,1,6,,Marker Started at 5,Dirt 5
ESQ,518.4278726000048,,Knowledge_start,,Game Task,1,6,,,Dirt 5
ESQ,520.2344561000064,,Knowledge_response,7.100000000000003,Game Task,1,6,,Marker Started at 8,Dirt 5
ESQ,520.2382210000069,,Intrusive_start,,Game Task,1,6,,,Dirt 5
ESQ,521.8806095999898,,Intrusive_response,5.400000000000002,Game Task,1,6,,Marker Started at 6,Dirt 5
ESQ,521.8843656000099,,Past_start,,Game Task,1,6,,,Dirt 5
ESQ,523.4443514999875,,Past_response,9.500000000000002,Game Task,1,6,,Marker Started at 10,Dirt 5
ESQ,523.4471328000072,,Distracting_start,,Game Task,1,6,,,Dirt 5
ESQ,524.9461797999975,,Distracting_response,5.3000000000000025,Game Task,1,6,,Marker Started at 6,Dirt 5
ESQ,524.9494894999953,,Words_start,,Game Task,1,6,,,Dirt 5
ESQ,526.5968263999966,,Words_response,5.500000000000002,Game Task,1,6,,Marker Started at 6,Dirt 5
ESQ 3,680.9852188999939,,,,Game Task,1,6,,667.134900199977,
ESQ,681.6910943000112,,Sounds_start,,Game Task,1,6,,,Dirt 5
ESQ,683.4746648999862,,Sounds_response,8.0,Game Task,1,6,,Marker Started at 8,Dirt 5
ESQ,683.4806826999993,,Knowledge_start,,Game Task,1,6,,,Dirt 5
ESQ,685.0343722999969,,Knowledge_response,4.0,Game Task,1,6,,Marker Started at 4,Dirt 5
ESQ,685.0374713999918,,Distracting_start,,Game Task,1,6,,,Dirt 5
ESQ,687.2741658999876,,Distracting_response,4.0,Game Task,1,6,,Marker Started at 4,Dirt 5
ESQ,687.2774222999869,,Deliberate_start,,Game Task,1,6,,,Dirt 5
ESQ,688.6843821000075,,Deliberate_response,2.0,Game Task,1,6,,Marker Started at 2,Dirt 5
ESQ,688.6873478000052,,Emotion_start,,Game Task,1,6,,,Dirt 5
ESQ,689.9242014999909,,Emotion_response,3.0,Game Task,1,6,,Marker Started at 3,Dirt 5
ESQ,689.9278904999956,,Other_start,,Game Task,1,6,,,Dirt 5
ESQ,691.0254298000073,,Other_response,10.0,Game Task,1,6,,Marker Started at 10,Dirt 5
ESQ,691.028896600008,,Absorption_start,,Game Task,1,6,,,Dirt 5
ESQ,692.3140306000132,,Absorption_response,5.0,Game Task,1,6,,Marker Started at 5,Dirt 5
ESQ,692.3178326000052,,Images_start,,Game Task,1,6,,,Dirt 5
ESQ,693.4595524999895,,Images_response,9.0,Game Task,1,6,,Marker Started at 9,Dirt 5
ESQ,693.4625873999903,,Words_start,,Game Task,1,6,,,Dirt 5
ESQ,694.594614600006,,Words_response,4.0,Game Task,1,6,,Marker Started at 4,Dirt 5
ESQ,694.5987433000118,,Self_start,,Game Task,1,6,,,Dirt 5
ESQ,695.7253401000053,,Self_response,5.0,Game Task,1,6,,Marker Started at 5,Dirt 5
ESQ,695.7285116999992,,Future_start,,Game Task,1,6,,,Dirt 5
ESQ,696.8843713999959,,Future_response,9.0,Game Task,1,6,,Marker Started at 9,Dirt 5
ESQ,696.8873596999911,,Intrusive_start,,Game Task,1,6,,,Dirt 5
ESQ,698.0242253000033,,Intrusive_response,10.0,Game Task,1,6,,Marker Started at 10,Dirt 5
ESQ,698.0280739000009,,Detailed_start,,Game Task,1,6,,,Dirt 5
ESQ,699.2440856999892,,Detailed_response,7.0,Game Task,1,6,,Marker Started at 7,Dirt 5
ESQ,699.246862400003,,Past_start,,Game Task,1,6,,,Dirt 5
ESQ,700.4404402000073,,Past_response,8.0,Game Task,1,6,,Marker Started at 8,Dirt 5
ESQ,700.443626399996,,Problem_start,,Game Task,1,6,,,Dirt 5
ESQ,701.5841798000038,,Problem_response,5.0,Game Task,1,6,,Marker Started at 5,Dirt 5
ESQ,701.5868415999867,,Focus_start,,Game Task,1,6,,,Dirt 5
ESQ,702.6602893999952,,Focus_response,7.0,Game Task,1,6,,Marker Started at 7,Dirt 5
EXPERIMENT DATA:,Game Task
Start Time,702.6724656999868
Game Task Start,702.6796430000104,,,,Game Task,1,6,,,
Game Init,705.8832526000042,,,,Game Task,1,6,,,
Game Start,705.8832832000044,,,,Game Task,1,6,,Tetris Effect: Connected,
ESQ 1,1039.0523609000084,,,,Game Task,1,6,,331.5574458955553,
ESQ,1039.7991079000058,,Absorption_start,,Game Task,1,6,,,Tetris Effect: Connected
ESQ,1042.034294699988,,Absorption_response,6.799999999999997,Game Task,1,6,,Marker Started at 6,Tetris Effect: Connected
ESQ,1042.0386117000016,,Past_start,,Game Task,1,6,,,Tetris Effect: Connected
